,name,Fate,Founded,HeadQuarters,Type,TotalEmployees,CurStatus,Defunct
0,SunTrust,,1985; 31 years ago (1985),"SunTrust Plaza
Atlanta, Georgia, U.S.",Public,"26,281 (12/31/2013)",,
0,Pfizer,,1849; 167 years ago (1849),"New York City, United States",Public,"78,300 (2015)[2]",,
0,eBay,,"September 3, 1995; 20 years ago (1995-09-03) (as AuctionWeb)","2145 Hamilton Avenue
San Jose, CA 95125
United States",Public,"34,600 (2015)[2]",,
0,OfficeMax,Merged with Office Depot,"April 1, 1988; 28 years ago (1988-04-01)
Cleveland, Ohio, U.S.","6600 North Military Trail
Boca Raton, Florida, U.S. 33449","Subsidiary
Brand",,,
0,Motorola Mobility,,"January 4, 2011; 5 years ago (2011-01-04)","Merchandise Mart
Chicago, Illinois, U.S.",Subsidiary,"3,466 (Q3 2014)[1]",,
0,Chili's Grill and Bar,,"March 13, 1975; 41 years ago (1975-03-13)","6820 LBJ Freeway
Dallas, Texas, U.S. 75240",Wholly owned subsidiary,,,
0,Meijer,,"Greenville, Michigan (1934)","Walker, Michigan, U.S. (Grand Rapids, Michigan mailing address)",Private,"72,200",,
0,Hilton Worldwide,,"May 31, 1919; 97 years ago (1919-05-31) (as Hilton Hotels Corporation)
Cisco, Texas, U.S.","Tysons Corner, Virginia, United States",Public,"164,000 (2015)[3]",,
0,Halliburton,,"1919, Duncan, Oklahoma, USA[2]","Houston, Texas, USA",Public,"70,000 [5]",,
0,Cracker Barrel,,"September 19, 1969 (1969-09-19)","Lebanon, Tennessee, United States",Public,"70,000",,
0,Aflac,,"June 23, 1955; 61 years ago (1955-06-23)","Aflac Building
Columbus, Georgia, U.S.",Public,"9,235 (December 2014)[2]",,
0,Menards,,1960; 56 years ago (1960),"Eau Claire, Wisconsin",Private company,"45,000",,
0,AlliedBarton,,"1957
Pittsburgh, Pennsylvania, USA","Conshohocken, Pennsylvania, USA",Private,,,
0,AutoZone,,"July 4, 1979; 37 years ago (1979-07-04) (as Auto Shack)
Forrest City, Arkansas, U.S.","Memphis, Tennessee, U.S.",Public,"70,000 (August, 2012)[4]",,
0,Advance Auto Parts,,"April 29, 1932; 84 years ago (1932-04-29)","Roanoke, Virginia, U.S.",Public,"74,000 - January 2015",,
0,Brookdale Senior Living,,1970s,"Brentwood, Tennessee, United States of America",,,,
0,TJ Maxx,,1976; 40 years ago (1976),"Framingham, Massachusetts, United States",Subsidiary,,,
0,Trader Joe's,,"1958; 58 years ago (1958) (as Pronto Market)
1967 (1967) (as Trader Joe's)
Pasadena, California, U.S.","Monrovia, California, US",Private,"10,000+[3]",,
0,HSBC Holdings,,"


First established on 3 March 1865; 151 years ago (1865-03-03) in Hong Kong[1] (as The Hongkong and Shanghai Bank)
First incorporated on 14 August 1866; 149 years ago (1866-08-14)[2](as The Hongkong and Shanghai Banking Corporation)
25 March 1991; 25 years ago (1991-03-25)[1][3] (as HSBC Holdings plc, as parent holding company to the entity in Hong Kong now as a subsidiary)


","HSBC Tower, London",Public limited company,"266,273 (2014)[4]",,
0,AECOM,,1990,"Los Angeles, California",Public,"approx. 95,000 [3]",,
0,Jimmy John's,,1983; 33 years ago (1983),"Champaign, Illinois, United States",Privately held company,,,
0,Progressive Insurance,,"March 10, 1937; 79 years ago (1937-03-10)","Mayfield Village, Ohio, U.S.",Public,"27,250 (2010)",,
0,Mattress Firm,,"July 4, 1986 (July 4, 1986)","Houston, Texas, U.S.",Public,"3,861 (2014)[2]",,
0,Bloomberg L.P.,,"October 1, 1981; 34 years ago (1981-10-01)[1]","Bloomberg Tower
731 Lexington Avenue, New York City, New York, United States",Limited partnership,"19,000 (2016)[6]",,
0,Cerner,,1979,"North Kansas City, Missouri, U.S.",Public,"22,000 (April 2015)[2]",,
0,Vector Marketing,,1981[1],"Olean, New York, US",Private,,,
0,Petco,,1965; 51 years ago (1965),"San Diego, California",Private,,,
0,United Airlines,,"April 6, 1926 (April 6, 1926) (as Varney Air Lines)[1]","Willis Tower, Chicago, Illinois, USA",,"86,000 (2016)",,
0,Medtronic,,1949,"Dublin, Ireland
(principal executive office)
Fridley, Minnesota
(operational headquarters)[1]","Public (NYSE: MDT)
S&P 500 Component",,,
0,Aon Hewitt,,"Lake Forest, Illinois,
United States (October 1, 1940)","Lincolnshire, Illinois,
United States",Subsidiary of Aon Corp.,"~29,000",,
0,Dunkin' Donuts,,"Quincy, Massachusetts, United States (1950; 66 years ago (1950))","130 Royall Street, Canton, Massachusetts, United States",Subsidiary of Dunkin' Brands,,,
0,Cox Communications,,1962; 54 years ago (1962),"6205 Peachtree Dunwoody Rd near Atlanta, Georgia 30328, United States",Subsidiary of Cox Enterprises,"22,350 (2004)",,
0,Ford Motor Company,,"June 16, 1903; 113 years ago (1903-06-16)","Dearborn, Michigan, U.S.",Public company,"199,000 (2015)[2]",,
0,University of California Berkeley,,,,"Flagship
Public research university
Land Grant",,,
0,Stanford University,,,,Private,,,
0,Sports Authority,Bankruptcy,"1987, Fort Lauderdale, Florida, U.S.","1050 West Hampden Avenue, Englewood, Colorado 80110",,"14,250 (2011) [2]",,"July 28, 2016"
0,NBCUniversal,,"


November 15, 1926; 89 years ago (1926-11-15) (as National Broadcasting Company, Inc.[2][3] - joint venture between Radio Corporation of America (RCA), General Electric (GE), & Westinghouse Electric)
December 2, 2004; 11 years ago (2004-12-02) (as NBC Universal, Inc. - merger between GE's National Broadcasting Company (NBC) and Vivendi's Vivendi Universal Entertainment)[4][5]
January 29, 2011; 5 years ago (2011-01-29) (as NBCUniversal Media, LLC, a subsidiary of NBCUniversal, LLC - joint venture between GE & Comcast)[6]
2011; 5 years ago (2011) (as NBCUniversal, Inc.)


","Comcast Building
30 Rockefeller Plaza
New York, New York 10112, United States",Division of Comcast[1],,,
0,American Airlines,,"April 15, 1926; 90 years ago (1926-04-15) (as American Airways, Inc.)
Chicago, Illinois, U.S.[1]","CentrePort, Fort Worth, Texas, United States",,"113,300 (2015)[5]",,
0,University of Phoenix,,,,"For-profit college
(a wholly owned subsidiary of Apollo Group Inc.)",,,
0,AMC Entertainment,,"January 1, 1920; 96 years ago (January 1, 1920)
Kansas City, Missouri, U.S.","Leawood, Kansas",Public subsidiary[1],"26,200 (March 2012)[2]",,
0,University of Washington,,,,Public flagship,,,
0,Genentech,,1976,"South San Francisco, California, United States",Wholly owned subsidiary of Roche,"13,720 (August 21, 2015)",,
0,Delta Air Lines,,"May 30, 1924; 92 years ago (1924-05-30)
(as Huff Daland Dusters)
Macon, Georgia, U.S.[1]","Atlanta, Georgia, US",,"80,000 (2015)",,
0,Cintas,,,"Mason, Ohio, U.S.",Public,"30,000",,
0,Life Time Fitness,,"
1990; 26 years ago (1990) (as FCA ltd.)
1992; 24 years ago (1992) (as Life Time Fitness) in Brooklyn Park, Minnesota, United States","Chanhassen, Minnesota",Private,,,
0,J. Crew,,1983; 33 years ago (1983),"770 Broadway,
New York City, New York, U.S.",Private,"15,600 (2015)[4]",,
0,Texas Instruments,,"1930; 86 years ago (1930) (as Geophysical Service Incorporated)[1]
1951 (as Texas Instruments)","Dallas, Texas, United States",Public,"29,997 (2015)[3]",,
0,DaVita,,,"Denver, Colorado",Public,"53,400 (2012)[1]",,
0,ADT Security Services,,1874; 142 years ago (1874) (as American District Telegraph),"Boca Raton, Florida, U.S.",Public Company,,,
0,Facebook,,"February 4, 2004; 12 years ago (2004-02-04)","Menlo Park, California, U.S.",Public,"12,691 (2015)[3]",,
0,Aetna,,1853; 163 years ago (1853),"Hartford, Connecticut, U. S.","Public
S&P 500 Component","48,600 (Dec 2013)[1]",,
0,Hyatt,,,"Hyatt Center
Chicago, Illinois,
United States",Public,"96,627 (2015)[2]",,
0,Urban Outfitters,,"Philadelphia, Pennsylvania, U.S. (1970 (1970))","Philadelphia, Pennsylvania, U.S.",Public,"25,000 (2011)",,
0,Pier 1 Imports,,"1962; 54 years ago (1962)
San Mateo, California, U.S.","Fort Worth, Texas, U.S.",Public,"17,000",,
0,Baker Hughes,,1907 / 1987 (merger),"American General Center
Houston, Texas, U.S.",Public,,,
0,First Data,,1971 (1971),"Atlanta, Georgia, United States",Public,"23,000 (2015)[1]",,
0,University of Southern California,,,,"Private
Sea-grant
Space-grant",,,
0,DIRECTV,,"


December 20, 1985; 30 years ago (1985-12-20) (as Hughes Electronics Corporation)
1990; 26 years ago (1990) (as DirecTV)[1]


","2230 E. Imperial Highway
El Segundo, California, US",Subsidiary,,,
0,H&M,,"Västerås, Sweden
(1947; 69 years ago (1947))","Stockholm, Sweden",Aktiebolag,148 000 – December 2015,,
0,Fastenal,,1967,"Winona, Minnesota, U.S.",Public,"18,417 full-time and part-time (2015)[2]",,
0,W.W. Grainger,,1927 (1927),"Lake Forest, Illinois, United States","


Public (NYSE: GWW)
S&P 500 Component


",,,
0,PayPal,,December 1998; 17 years ago (1998-12) (as Confinity),"2211 North First Street, San Jose, California, United States 95131",Public,"15,800 (2015)[1]",,
0,FedEx Office,,1970 (as Kinko's),"Plano, Texas",Subsidiary,"19,000 (2006)",,
0,LinkedIn,,"December 14, 2002; 13 years ago (2002-12-14)
Mountain View, California, U.S.","Mountain View, California, U.S.","Public
(Acquisition by Microsoft pending)","9,732 (March 2016)[2]",,
0,Broadcom,Became a wholly owned subsidiary of Broadcom Limited after being acquired by Avago Technologies,August 1991; 25 years ago (1991-08),"Irvine, California, United States",Subsidiary,,,
0,Total Quality Logistics,,"Cincinnati, Ohio (1997)","Union Township, Ohio, United States",Private,"3,200 (2015)[2]",,
0,Bloomingdale's,,1861,"1000 Third Avenue
New York, New York, US",Subsidiary,,,
0,Papa John's,,"October 2, 1984; 31 years ago (1984-10-02)","Jeffersontown, Kentucky",Public (NASDAQ: PZZA),"20,700 (December 30, 2013)[3]",,
0,Cummins,,1919 (1919),"Cummins Corporate Office Building
500 Jackson Street
Columbus, Indiana, U.S.",Public,"54,600[2]",,
0,Visa Inc.,,"1958; 58 years ago (1958) (as BankAmericard)
Fresno, California, United States","Foster City,[1] California, United States",Public company,"11,300 (2015)[2]",,
0,Food Lion,,"1957; 59 years ago (1957) (as Food Town)
1983 (1983) (as Food Lion)","Salisbury, North Carolina, U.S.",Subsidiary,"65,000",,
0,24 Hour Fitness,,1979,"San Ramon, California, United States",Private,"over 20,000",,
0,Columbia University,,,,Private,,,
0,Credit Suisse,,1856; 160 years ago (1856),"Paradeplatz 8
Zürich, Switzerland",Aktiengesellschaft,"48,200 (FTE, end 2015)[2]",,
0,Teleperformance,,"1978, as Teleperformance[1]","Paris, France",Public Euronext: RCF NYSE: RCF.PA,"120,000",,
0,Quest Diagnostics,,"New York City, United States (1967)","Madison, New Jersey, United States",Public,"40,000",,
0,L-3 Communications,,1997,"New York City, New York, United States",Public,">38,000 (2016)",,
0,Philips,,"May 15, 1891; 125 years ago (1891-05-15)
Eindhoven, Netherlands","Amsterdam, Netherlands",Naamloze vennootschap,"105,365 (2014)[1]",,
0,UCLA,,,,"Public
Research
Land grant",,,
0,Fiserv,,1984,"Brookfield, Wisconsin, U.S]]",Public,"21,000 (December 2013)[3]",,
0,Johnson Controls,,1885,"Glendale, Wisconsin. (Milwaukee, Wisconsin)",Public,"170,000 (As on Nov 30, 2012)",,
0,Fifth Third,,"June 17, 1858; 158 years ago (1858-06-17) (as Bank of the Ohio Valley)","Cincinnati, Ohio, U.S.",Public,"21,613 (December 2010)[1]",,
0,Starwood Hotels & Resorts,,"1969 as a REIT
1980 as a corporation[1]","Stamford, Connecticut, U.S.","Public
(Acquisition by Marriott International pending)","181,400 (2013)[4]",,
0,Ricoh Americas Corporation,,"Tokyo, February 6, 1936; 80 years ago (1936-02-06)","Chūō, Tokyo, Japan",Public,"109,950 (March 31, 2015)",,
0,Deutsche Bank,,1870; 146 years ago (1870),"Deutsche Bank Twin Towers
Frankfurt, Germany",Aktiengesellschaft,"101,104 (2015)[3]",,
0,CDW,,1984 by Michael Krasny,"Lincolnshire, Illinois,
United States",Public,"8,400+ [2]",,
0,Outback Steakhouse,,1988; 28 years ago (1988),"Tampa, Florida, U.S.",Wholly owned subsidiary,,,
0,Six Flags,,"August 5, 1961; 54 years ago (1961-08-05)","Grand Prairie, Texas",Public,"1,900 full-time; 27,000 seasonal",,
0,LA Fitness,,"November 1, 1984; 31 years ago (1984-11-01)
Los Angeles, California, U.S.","Irvine, California, United States",Private,,,
0,Williams-Sonoma,,"1956 in Sonoma, California, U.S.","3250 Van Ness Avenue
San Francisco, California, U.S.",Public,"26,800 (2015[5])",,
0,Citrix,,1989,"Fort Lauderdale, Florida, United States","Public
(NASDAQ: CTXS)
S&P 500 Component","9,500 (Dec 2015) minus 700[2]",,
0,Wegmans Food Markets,,"1916; 100 years ago (1916) (as Rochester Fruit and Vegetable Company)
Rochester, New York, U.S.","Rochester, New York, U.S.","Private
Family business","58,000+ (2013)",,
0,BP,,"


1908  Anglo-Persian Oil Company
1935  Anglo-Iranian Oil Co.
1954  British Petroleum
1998  BP Amoco plc
2001  BP plc


","London, England, United Kingdom",Public limited company,"79,800[1] (as of 31 December 2015)",,
0,University of Texas at Austin,,,,"Flagship state university
Space-grant university",,,
0,HCL Technologies,,11 August 1976; 39 years ago (1976-08-11)[1],"Noida, India",Public,"104,896 (March 2016)[2]",,
0,Fedex Express,,1971; 45 years ago (1971),"Memphis, Tennessee, USA",,,,
0,TJX Companies,,"1987; 29 years ago (1987) (formerly Zayre, founded in 1956)","Framingham, Massachusetts, U.S.",Public,"198,000",,
0,Regal Entertainment,,"New Manila, Quezon City, Philippines (1962; 54 years ago (1962))","Quezon City, Philippines",Film production company,,,
0,The Hartford,,1810; 206 years ago (1810),"Hartford, Connecticut, U.S.",Public,"17,500(2015)",,
0,Harris Teeter,,"1936; 80 years ago (1936)
Charlotte, North Carolina, U.S.","Matthews, North Carolina",Subsidiary,"25,300",,
0,Capgemini,,1967; 49 years ago (1967),"Paris, France",Société Anonyme,"180,639 (Dec 2015)[1]",,
0,Cheesecake Factory,,1978,"Calabasas Hills, California, U.S.",Public,"35,000",,
0,Amgen,,1980,"Thousand Oaks, California, U.S.",Public,"17,900 (December 2014)[1]",,
0,Anthropologie,,1992,"Philadelphia, Pennsylvania, U.S.",Subsidiary,,,
0,Barclays,,"17 November 1690; 325 years ago (1690-11-17) in City of London, Kingdom of England","One Churchill Place, Canary Wharf, London, England, United Kingdom",Public limited company,"129,400 (2016)[2]",,
0,Academy Sports & Outdoors,,"Houston, Texas, U.S. (1938)","Unincorporated Harris County (near Katy), Texas, U.S.",Private,"17,000 (2011)",,
0,Nokia,,"May 12, 1865; 151 years ago (1865-05-12) Tampere, Grand Duchy of Finland
incorporated in Nokia (1871)","Espoo, Uusimaa, Finland[1]","Julkinen osakeyhtiö
(Public company)","114,256",,
0,Siemens,,"12 October 1847; 168 years ago (1847-10-12)
Berlin, Kingdom of Prussia","Berlin and Munich, Germany",Aktiengesellschaft,"348,000 (2015)[1]",,
0,Arizona State University,,,,Public research university,,,
0,Thermo Fisher Scientific,,2006 by Merger of Thermo Electron and Fisher Scientific,"Waltham, Massachusetts, USA","Public (NYSE: TMO)
S&P 500 Component","51,000 (2015)",,
0,CA Technologies,,"1976; 40 years ago (1976) (as Computer Associates International, Inc.)","520 Madison Avenue
New York, NY 10022
U.S.[1]",Public,"11,500 (2016)[2]",,
0,GE Healthcare,,2004,"Little Chalfont, United Kingdom
(Moving to Chicago, United States in 2016)[1]",Subsidiary,"46,000+",,
0,Charter Communications,,"1993 (23 years ago) (1993) in St. Louis, Missouri, United States","Stamford, Connecticut, United States",Public,"21,000",,
0,Rent-A-Center,,"1973; 43 years ago (1973)
1986 (1986) (incorporated)
Wichita, Kansas, U.S.","Plano, Texas, U.S.",Public,"22,200 (2014)[3]",,
0,Quicken Loans,,1985,"The Compuware Building, The Qube, Detroit, Michigan, United States",Private,"13,000 nationally[1]",,
0,Belk,,"1888 (Monroe, North Carolina, United States)","Charlotte, North Carolina, United States",Private,"24,700 (2014 Annual Report)",,
0,The Children's Place,,1969,"Secaucus, New Jersey",Public,"10,000 (2016)",,
0,Groupon,,,"Chicago, Illinois, U.S.",Public,"10,000 (2013)[2]",,
0,TeleTech,,1982,"Englewood, Colorado, United States",Public,,,
0,UC San Diego,,,,"Public
Sea-grant
Space-grant
State",,,
0,Southwest Airlines,,"March 16, 1967 (1967-03-16)","Dallas, Texas, U.S.",,"49,583 (2015)[2]",,
0,Payless ShoeSource,,1956; 60 years ago (1956),"Topeka, Kansas",Private,"25,000 (2013)[2]",,
0,Winn-Dixie,,1925,"Jacksonville, Florida, U.S.",Subsidiary,"About 41,000",,
0,Avaya,,2000; 16 years ago (2000),"Santa Clara, California, United States",Private,"11,701 (Sep 2015)[2]",,
0,University of Minnesota,,,,"Public
Flagship University
Land-Grant
Sea-Grant
Space-Grant",,,
0,Cardinal Health,,1971,"Dublin, Ohio, U.S.",Public,"35,000 [2][3](2015)",,
0,Marshalls,,"1956; 60 years ago (1956)
Beverly, Massachusetts, U.S.","Framingham, Massachusetts",Subsidiary,,,
0,University of Maryland,,,,"Flagship public university
Land-grant
Sea-grant
Space-grant",,,
0,Purdue University,,,,"Public
Flagship
Land-Grant
Sea-Grant
Space-Grant",,,
0,AMD,,"May 1, 1969; 47 years ago (1969-05-01)","One AMD Place,[1]
Sunnyvale, California, United States",Public,"9,139 (Q2 2016)[5]",,
0,The Fresh Market,,"March 8, 1982","Greensboro, North Carolina",Public,"6,250",,
0,The Ohio State University,,,,"Public
Land grant
Sea grant
Space grant",,,
0,LabCorp,,1978,"Burlington, North Carolina, U.S.",Public,,,
0,BB&T,,1872; 144 years ago (1872),"Winston-Salem, North Carolina, United States",Public,"33,400 (February 2015)[1]",,
0,Maxim Healthcare Services,,1988,"Columbia, Maryland, USA",Private,"3,300 internal employees (2007), 60,000 external employees (2007)",,
0,MIT,,,,"Private
Land grant",,,
0,Providence Health & Services,,1859,"Renton, WA, USA",Non-profit organization,"76,329 (2013)",,
0,Texas A&M,,,,"Flagship state university
Land-grant university
Sea-grant university
Space-grant university[2]",,,
0,General Mills,,"June 20, 1866; 150 years ago (1866-06-20)
Minneapolis, Minnesota, U.S.","Golden Valley, Minnesota, United States",Public,"43,000 (2014)[1]",,
0,ITT Technical Institute,,,,For-Profit,,,
0,University of Pennsylvania,,,,Private,,,
0,Rutgers University,,,,"Public
Multiple campus
Land-grant
Sea-grant
Research university",,,
0,University of Illinois at Urbana-Champaign,,,,"Public flagship
Land-grant
Sea-grant
Space-grant",,,
0,Alcatel-Lucent,Acquired by and merged with Nokia,"Alcatel: 1872
Lucent Technologies: 1870
Alcatel-Lucent: 2006","Boulogne-Billancourt, France",Société Anonyme,"52,673 (2015)[2]",,
0,Harvard University,,,,Private research,,,
0,Ameriprise,,1894,"Ameriprise Financial Center
Minneapolis, Minnesota, U.S.","Public
S&P 500 Component","12,235 (2013)",,
0,Hobby Lobby,,"Oklahoma City, Oklahoma, U.S.
(August 1972; 44 years ago (1972-08))",,Privately held corporation,"23,000[1]",,
0,Motorola Solutions,,"January 4, 2011; 5 years ago (January 4, 2011)","Chicago, Illinois, U.S.",Public,"14,000 (2015)[2]",,
0,U.S. Cellular,,1983; 33 years ago (1983),"Chicago, Illinois, U.S.",Public,"6,700 (2014)",,
0,Hy-Vee,,"Beaconsfield, Iowa, (1930)","West Des Moines, Iowa",Employee-Owned,"82,000[1]",,
0,Juniper Networks,,"February 6, 1996; 20 years ago (1996-02-06)","Sunnyvale, California, United States",Public,"9,483 (2014)[2]",,
0,Avis Budget Group,,2006,"Parsippany, New Jersey, United States",Public,"30,000 [2]",,
0,REI,,1938 (1938),"Kent, Washington, United States",Consumers' cooperative,"12,000 (2015) [5]",,
0,Texas Roadhouse,,"Clarksville, Indiana ( February 17, 1993)","Louisville, Kentucky, U.S.",Public,,,
0,IKEA,,"1943; 73 years ago (1943)
Älmhult, Sweden[1][2]","Delft,[3] Netherlands",Private,"147,000 (2014)[4]",,
0,ExxonMobil,,"November 30, 1999; 16 years ago (1999-11-30)","Irving, Texas, United States",Public,"75,300 (2015)",,
0,Schneider Electric,,"1836; 180 years ago (1836)
(incorporated 1981)","Rueil-Malmaison, France",Societas Europaea,"167,124 [1]:8 (2014)",,
0,Penn State University,,,," • Public
 • Flagship
 • State-related
 • Land-grant
 • Sea-grant
 • Space-grant
 • Sun-grant
 • Multi-campus",,,
0,Panda Express,,1983,"1683 Walnut Grove Ave., Rosemead, California, U.S.[1]",Private,"24,995 (2014) [4]",,
0,7-Eleven,,1927; 89 years ago (1927) (as Tote'm Stores),"Irving, Texas, U.S.",Subsidiary,"45,000 (2010 NA)?",,
0,Chico's FAS,,1983,"Fort Myers, FL, U.S.",Public (NYSE: CHS),"23,700 [2013]",,
0,Rockwell Collins,,1933,"Cedar Rapids, Iowa, USA",Public,"20,000 (2010)",,
0,hhgregg,,"1955; 61 years ago (1955) (as Gregg Appliances, Inc.)
Princeton, Indiana, U.S.","Indianapolis, Indiana, U.S.",Public company,"5,124",,
0,GE Capital,,,"Norwalk, Connecticut, United States",Subsidiary,"35,000 (2014)",,
0,Regions Financial,,1971 as First Alabama Bancshares,"Regions Center
Birmingham, Alabama, U.S",Public,"23,000 (2014)[1]",,
0,National Oilwell Varco,,,"Houston, Texas, U.S.",Public,"64,000 (2014)",,
0,Hospital Corporation of America,,1968,"Nashville, Tennessee, United States",Public,"204,000",,
0,Stryker,,,,Armored fighting vehicle,,,
0,Johns Hopkins University,,,,Private,,,
0,O'Reilly Auto Parts,,"December 2, 1957; 58 years ago (1957-12-02)","Springfield, Missouri, U.S.",Public,"74,115 (2016)",,
0,Red Robin,,"Seattle, Washington, U.S. September 1969; 46 years ago (1969-09)","Greenwood Village, Colorado (2000)",Public,,,
0,Kindred Healthcare,,"1985, Louisville, Kentucky, USA","Louisville, Kentucky, USA",Public,"65,300 [4]",,
0,Party City,,"1986; 30 years ago (1986)
East Hanover, New Jersey, U.S.","Elmsford, New York",Public,,,
0,Northwestern University,,,,Private,,,
0,University of Florida,,,,"State university
Flagship university[2]
Land-grant university
Sea-grant university
Space-grant university",,,
0,DuPont,,1802; 214 years ago (1802),"Wilmington, Delaware, United States",Public,"52,000 (2015)[2]",,
0,GlaxoSmithKline,,2000 (2000),"Brentford, London",Public limited company,"96,575 (2015)[2]",,
0,AOL,,"1983; 33 years ago (1983) (as Control Video Corporation)
2009 (as AOL Inc.)","770 Broadway
New York, NY 10003",Subsidiary,"5,600",,
0,Saks Fifth Avenue,,1898 (1898),"New York City, New York, U.S.",Subsidiary,,,
0,BlackRock,,1988,"40 East 52nd Street
New York, NY 10022
U.S.",Public,"12,000[4]",,
0,R.R. Donnelley,,1864,"35 West Wacker Drive
Chicago, Illinois, 60601
USA",Public,"68,000 (2014)[1]",,
0,Genesis HealthCare,,,"Kennett Square, Pennsylvania, U.S.",Public,"90,000",,
0,American Cancer Society,,1913,,,,,
0,Big Lots,,1967; 49 years ago (1967),"Columbus, Ohio",Public,"12,300 (2015)",,
0,McKinsey & Company,,1926; 90 years ago (1926),None[1],Incorporated partnership,"17,000[3]",,
0,Asurion,,1994,"Nashville, Tennessee, United States",Privately held,"15,000+",,
0,Georgia Tech,,,,"Public
Space grant",,,
0,3M,,"June 13, 1902; 114 years ago (1902-06-13) (as Minnesota Mining and Manufacturing Company)
Two Harbors, Minnesota, U.S.","Maplewood, Minnesota, U.S.",Public,"89,800 (2015)[1]",,
0,Level 3 Communications,,1985,"Broomfield, Colorado, USA",Public,"13,500",,
0,Giant Eagle,,"March 17, 1933 [1]","O'Hara Township, Pennsylvania, United States",Private,"36,000",,
0,Bankers Life,,1879,"Chicago, Illinois, USA",Subsidiary,,,
0,UC Davis,,,,"Public
Land-grant
Space-grant
State",,,
0,Sprouts Farmers Market,,July 2002,"5455 E. High Street, Suite 111, Phoenix, Arizona, United States",Public,"21,000+",,
0,Frontier Communications,,1935[1],"Norwalk, Connecticut, U.S.",Public," 18,600 (2015)[4]",,
0,Affiliated Computer Services,,1988,"Dallas, Texas, USA",Subsidiary,"74,000 – (June 2009)[1]",,
0,Dow Chemical,,1897; 119 years ago (1897),"Midland, Michigan, United States",Public,"51,635 (2015)[1]",,
0,Stop & Shop,,"Somerville, Massachusetts, United States (1914 (1914))","Quincy, Massachusetts[1], United States",Subsidiary,"82,000+ in 422 stores",,
0,Kforce,,May 1962 (1962-05),"Tampa, Florida",Public,,,
0,Jo-Ann Stores,,"Cleveland, Ohio (1943)","Hudson, Ohio, U.S.",Private,,,
0,Avon Products,,"September 15, 1886; 129 years ago (1886-09-15)","New York City, United States",Public,"36,700 (Dec 2013)[1]",,
0,Pacific Gas and Electric,,1905,"Pacific Gas & Electric Building
San Francisco, California, United States",Public,"19,424 (2012)[2]",,
0,Yelp,,October 2004; 11 years ago (2004-10),"San Francisco, California, United States",Public company,"3,850 (December 31, 2015)[1]",,
0,Pacific Sunwear,,1980,"Anaheim, California, U.S.",Public," 10,300 (2014)[1]",,
0,Rackspace,,1998; 18 years ago (1998),"1 Fanatical Place
City of Windcrest
San Antonio, TX  78218",Public company,,,
0,Unisys,,1986,"Blue Bell, Pennsylvania, United States",Public,"20,000 (2015)",,
0,KFC,,"


Sanders Court & Café:

March 20, 1930; 86 years ago (1930-03-20)

North Corbin, Kentucky
First franchise:

September 24, 1952 (1952-09-24)

Salt Lake City, Utah


","1441 Gardiner Lane

Louisville, Kentucky

United States",Subsidiary,,,
0,Gannett,,1906; 110 years ago (1906),"Tysons Corner, Virginia, U.S.
(McLean mailing address)",Public,"18,700 (2015)[2]",,
0,Dairy Queen,,"June 22, 1940; 76 years ago (1940-06-22)
Joliet, Illinois, U.S.","Edina, Minnesota, U.S.",Wholly owned subsidiary,"20,362 (2008)",,
0,Cengage Learning,,2007,,,"5,500 (2014)",,
0,Arby's,,"July 23, 1964; 52 years ago (1964-07-23)
Boardman, Ohio, U.S.","Sandy Springs, Georgia, U.S.",Privately held company,"74,000 (2013)[2]",,
0,University of Chicago,,,,Private nondenominational coeducational,,,
0,hibu,,2001,"Reading, Berkshire, United Kingdom",Privately owned company,"12,531 (2012)[2]",,
0,Scottrade,,"Scottsdale, Arizona (1980)","Town and Country, Missouri, USA",Private,"3,725 (2012)[1]",,
0,Quintiles,,1982,"Durham, North Carolina, USA",Public,"~ 35,000 (2015)",,
0,Fannie Mae,,1938; 78 years ago (1938),"Washington, D.C., U.S.",Government-sponsored enterprise and public company,"7,200 (2013)",,
0,Little Caesar's,,"May 8, 1959; 57 years ago (1959-05-08)
Garden City, Michigan, U.S.","2211 Woodward Avenue
Detroit, Michigan, U.S.",,,,
0,Wolters Kluwer,,1836,"Alphen aan den Rijn, Netherlands",Naamloze vennootschap,"19,000",,
0,Electronic Arts,,"May 28, 1982; 34 years ago (1982-05-28)","Redwood City, California, U.S.",Public,"8,500 (2016)[2][3]",,
0,Cleveland Clinic,,1921,,,,,
0,T.G.I. Friday's,,"March 15, 1965; 51 years ago (1965-03-15)
New York City, New York, U.S.","Carrollton, Texas, U.S.",Private,,,
0,Cargill,,1865; 151 years ago (1865),"Minnetonka, Minnesota, U.S.",Private,"153,000 (2015)[1]",,
0,Kellogg Company,,"February 19, 1906; 110 years ago (1906-02-19)
Battle Creek, Michigan, United States","Battle Creek, Michigan, United States",Public,"30,277 [2] (2014)",,
0,Bristol-Myers Squibb,,"1887, merger 1989","345 Park Avenue
New York, New York, United States",Public company,"28,000 (2010)",,
0,Teach for America,,1989,"New York City, New York, United States",Nonprofit organization,,,
0,NVIDIA,,April 1993; 23 years ago (1993-04),"Santa Clara, California, U.S.",Public,"9,100[2]",,
0,Abbott Labs,,1888; 128 years ago (1888) (as Abbott Alkaloidal Company),"Lake Bluff, Illinois, United States",Public,"74,000 (2015)[1]",,
